Age of Employee,Employee Attrition Needed,Business Travel,Dept,Education Degree,Emp. No.,Gender,Job Level,Role,Job Satisfaction Rate,Marital Status,Income per month,No. of Companies Worked,Over Time,Salary Growth Rate,Performance Rate,Employment Span,Years At Company,Years In Current Position,Years Since Last Promotion,Duration with Current Manager
32,No,Travel_Rarely,Research & Development,Medical,439,Female,2,Research Scientist,4,Single,5055,7,No,16,3,10,7,7,0,7
28,Yes,Travel_Rarely,Research & Development,Medical,440,Male,1,Research Scientist,4,Married,3464,5,Yes,13,3,5,3,2,2,2
30,No,Travel_Rarely,Research & Development,Medical,441,Female,2,Research Scientist,4,Married,5775,1,No,13,3,11,10,8,1,9
39,Yes,Travel_Rarely,Sales,Medical,445,Female,2,Sales Executive,3,Married,5238,4,Yes,18,3,12,1,0,0,0
33,No,Travel_Frequently,Sales,Marketing,446,Male,2,Sales Executive,4,Single,4682,3,No,14,3,9,7,7,0,1
43,No,Travel_Frequently,Research & Development,Life Sciences,448,Female,2,Laboratory Technician,3,Divorced,5257,1,No,11,3,9,9,7,0,0
27,No,Non-Travel,Sales,Marketing,449,Male,2,Sales Executive,2,Married,6349,0,Yes,13,3,6,5,4,1,4
54,No,Travel_Frequently,Research & Development,Life Sciences,450,Female,2,Research Scientist,3,Single,4869,3,No,12,3,20,4,3,0,3
43,No,Travel_Rarely,Research & Development,Life Sciences,451,Female,3,Healthcare Representative,1,Married,9985,8,No,16,3,10,1,0,0,0
29,Yes,Travel_Rarely,Research & Development,Other,454,Male,1,Laboratory Technician,1,Married,2119,1,Yes,11,3,7,7,7,0,7
29,No,Travel_Rarely,Research & Development,Other,455,Male,1,Laboratory Technician,4,Single,3983,0,No,17,3,4,3,2,2,2
30,No,Travel_Rarely,Sales,Marketing,456,Female,2,Sales Executive,3,Divorced,6118,1,No,13,3,10,10,9,1,2
27,No,Travel_Rarely,Sales,Marketing,458,Female,2,Sales Executive,2,Married,6214,1,No,18,3,8,8,7,0,7
37,No,Travel_Rarely,Research & Development,Medical,460,Male,2,Manufacturing Director,4,Divorced,6347,7,No,16,3,8,6,2,0,4
38,No,Travel_Rarely,Research & Development,Life Sciences,461,Male,3,Research Director,4,Divorced,11510,0,Yes,14,3,12,11,10,2,9
31,No,Travel_Rarely,Research & Development,Medical,462,Female,3,Manufacturing Director,4,Single,7143,1,Yes,14,3,11,11,9,4,10
29,No,Travel_Rarely,Sales,Marketing,463,Female,2,Sales Executive,2,Divorced,8268,1,Yes,14,3,7,7,7,1,7
35,No,Travel_Rarely,Research & Development,Technical Degree,464,Male,3,Manufacturing Director,2,Single,8095,0,No,13,3,17,16,6,0,13
23,No,Travel_Rarely,Research & Development,Life Sciences,465,Male,1,Research Scientist,4,Divorced,2904,1,No,12,3,4,4,2,0,2
41,No,Travel_Rarely,Research & Development,Medical,466,Male,2,Manufacturing Director,2,Single,6032,6,Yes,15,3,8,5,4,1,2
47,No,Travel_Frequently,Sales,Medical,467,Male,2,Sales Representative,3,Single,2976,3,No,19,3,5,0,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,468,Female,4,Research Director,4,Single,15992,2,No,14,3,16,1,0,0,0
29,No,Non-Travel,Sales,Life Sciences,469,Male,2,Sales Executive,3,Married,4649,1,No,14,3,4,4,3,0,2
42,No,Travel_Rarely,Human Resources,Technical Degree,470,Male,1,Human Resources,3,Divorced,2696,0,Yes,11,3,4,3,2,1,0
32,No,Travel_Rarely,Research & Development,Medical,471,Female,1,Laboratory Technician,2,Married,2370,1,No,13,3,8,8,0,0,7
37,No,Travel_Rarely,Research & Development,Medical,474,Male,2,Research Scientist,1,Divorced,5974,4,Yes,13,3,13,7,7,6,7
30,No,Non-Travel,Sales,Technical Degree,475,Female,2,Sales Executive,3,Married,4736,7,Yes,12,3,4,2,2,2,2
26,No,Travel_Rarely,Sales,Life Sciences,476,Male,2,Sales Executive,3,Married,5296,1,No,17,3,8,8,7,7,7
21,Yes,Travel_Frequently,Sales,Technical Degree,478,Female,1,Sales Representative,2,Single,2174,1,Yes,11,3,3,3,2,1,2
36,No,Non-Travel,Sales,Medical,479,Female,2,Sales Executive,4,Single,6653,4,No,15,3,7,1,0,0,0
36,No,Travel_Frequently,Sales,Medical,481,Male,3,Sales Executive,4,Married,9699,4,No,11,3,16,13,9,1,12
57,No,Travel_Rarely,Research & Development,Medical,482,Male,2,Healthcare Representative,3,Married,6755,2,No,11,3,15,3,2,1,2
40,No,Travel_Rarely,Research & Development,Life Sciences,483,Female,1,Laboratory Technician,3,Married,2213,3,Yes,13,3,10,7,7,1,7
33,Yes,Travel_Rarely,Sales,Marketing,485,Female,1,Sales Representative,3,Single,2851,1,Yes,13,3,1,1,0,0,0
46,No,Non-Travel,Research & Development,Medical,487,Female,2,Manufacturing Director,3,Married,5258,2,No,14,3,7,1,0,0,0
41,Yes,Travel_Frequently,Sales,Marketing,488,Male,2,Sales Executive,2,Single,9355,1,No,18,3,8,8,7,7,7
50,No,Travel_Rarely,Research & Development,Technical Degree,491,Male,3,Healthcare Representative,4,Single,10496,6,No,15,3,20,4,3,1,3
40,Yes,Travel_Rarely,Sales,Marketing,492,Male,2,Sales Executive,3,Married,6380,2,Yes,12,3,8,6,4,1,0
31,No,Travel_Rarely,Research & Development,Life Sciences,493,Male,1,Research Scientist,2,Single,2657,0,Yes,16,3,3,2,2,2,2
21,Yes,Travel_Rarely,Sales,Life Sciences,494,Female,1,Sales Representative,2,Single,2716,1,No,15,3,1,1,0,0,0
27,No,Travel_Rarely,Research & Development,Medical,497,Male,1,Laboratory Technician,2,Divorced,3816,1,No,11,3,5,5,2,0,4
28,No,Travel_Rarely,Sales,Life Sciences,498,Male,2,Sales Executive,4,Single,5253,1,No,16,3,7,7,5,0,7
51,No,Travel_Rarely,Sales,Life Sciences,500,Female,2,Sales Executive,4,Married,4936,4,No,11,3,18,7,7,0,7
36,No,Travel_Rarely,Research & Development,Life Sciences,501,Female,1,Research Scientist,3,Married,2543,4,No,13,3,6,2,2,2,2
34,Yes,Non-Travel,Sales,Marketing,502,Male,2,Sales Executive,4,Single,5304,8,Yes,13,3,9,5,2,0,4
24,No,Travel_Rarely,Sales,Marketing,507,Female,2,Sales Executive,3,Divorced,4260,1,Yes,12,3,5,5,2,0,3
30,No,Travel_Rarely,Sales,Technical Degree,508,Male,1,Sales Representative,2,Married,2476,1,No,18,3,1,1,0,0,0
22,No,Travel_Rarely,Research & Development,Medical,511,Female,1,Research Scientist,2,Married,2244,1,No,13,3,2,2,1,1,2
40,No,Travel_Rarely,Sales,Marketing,516,Female,2,Sales Executive,2,Divorced,5715,7,No,12,3,8,5,4,1,3
42,No,Travel_Rarely,Research & Development,Life Sciences,517,Female,1,Laboratory Technician,1,Divorced,2576,3,No,16,3,8,5,2,1,2
37,No,Travel_Rarely,Research & Development,Life Sciences,518,Male,2,Manufacturing Director,2,Single,4197,2,Yes,12,3,18,1,0,0,1
31,No,Travel_Rarely,Research & Development,Medical,524,Female,2,Manufacturing Director,1,Married,4306,1,No,12,3,13,13,10,3,12
43,No,Travel_Rarely,Research & Development,Other,526,Female,2,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,8,5,2,0,2
25,No,Travel_Rarely,Sales,Life Sciences,527,Female,2,Sales Executive,4,Single,4487,1,Yes,11,3,5,5,4,1,3
31,No,Travel_Rarely,Research & Development,Life Sciences,530,Male,1,Laboratory Technician,1,Married,2218,1,No,12,3,4,4,2,3,2
30,No,Travel_Rarely,Sales,Technical Degree,533,Female,2,Sales Executive,3,Single,6577,0,No,11,3,6,5,4,4,4
41,No,Travel_Rarely,Sales,Marketing,534,Male,3,Sales Executive,1,Married,8392,1,No,16,3,10,10,7,0,7
28,No,Travel_Rarely,Research & Development,Medical,536,Male,2,Laboratory Technician,1,Divorced,4558,1,No,12,3,10,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,Medical,538,Male,1,Laboratory Technician,1,Married,4031,5,No,13,3,6,2,2,0,2
52,No,Travel_Rarely,Research & Development,Medical,543,Male,3,Manufacturing Director,3,Married,7969,2,Yes,14,3,28,5,4,0,4
42,No,Travel_Frequently,Research & Development,Life Sciences,547,Female,2,Research Scientist,3,Divorced,4556,2,No,11,3,19,5,4,0,2
46,No,Travel_Rarely,Research & Development,Medical,550,Female,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,19,10,7,0,8
42,No,Travel_Frequently,Research & Development,Technical Degree,551,Female,2,Healthcare Representative,4,Married,4523,0,No,11,3,7,6,5,0,4
24,Yes,Travel_Rarely,Sales,Technical Degree,554,Female,1,Sales Representative,2,Single,3202,1,Yes,16,3,6,5,3,1,4
34,Yes,Travel_Frequently,Sales,Marketing,555,Female,1,Sales Representative,3,Divorced,2351,0,No,16,3,3,2,2,1,0
30,No,Non-Travel,Research & Development,Life Sciences,562,Male,1,Laboratory Technician,4,Married,2097,4,No,15,3,9,5,3,1,4
29,No,Travel_Rarely,Research & Development,Medical,564,Male,3,Research Director,3,Married,11935,1,No,18,3,10,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,Technical Degree,565,Female,1,Research Scientist,2,Married,2546,5,No,16,3,6,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,Technical Degree,566,Male,1,Human Resources,4,Single,2564,1,No,12,3,1,1,0,0,0
30,No,Non-Travel,Sales,Other,567,Female,3,Sales Executive,1,Married,8412,0,No,11,3,10,9,8,7,8
30,No,Non-Travel,Research & Development,Medical,571,Female,1,Laboratory Technician,4,Single,2564,0,No,14,3,12,11,7,6,7
47,No,Travel_Rarely,Research & Development,Medical,574,Female,2,Manufacturing Director,4,Divorced,5070,5,No,13,3,20,5,0,0,4
35,No,Travel_Rarely,Research & Development,Life Sciences,577,Male,1,Laboratory Technician,3,Single,4230,0,No,15,3,6,5,4,4,3
54,No,Travel_Rarely,Research & Development,Life Sciences,578,Female,2,Laboratory Technician,3,Single,3780,7,No,11,3,19,1,0,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,579,Male,1,Research Scientist,3,Divorced,2768,3,No,12,3,14,7,3,5,7
46,No,Travel_Rarely,Sales,Marketing,580,Female,3,Sales Executive,4,Married,9071,2,Yes,19,3,15,3,2,1,2
33,Yes,Travel_Rarely,Research & Development,Medical,582,Male,3,Manager,3,Married,13610,7,Yes,12,3,15,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,Medical,584,Male,1,Laboratory Technician,4,Divorced,3408,7,No,13,3,8,4,3,1,3
30,No,Travel_Rarely,Sales,Marketing,585,Male,1,Sales Representative,2,Single,2983,0,No,14,3,4,3,2,1,2
35,No,Travel_Rarely,Research & Development,Life Sciences,586,Male,3,Healthcare Representative,3,Married,7632,4,Yes,12,3,10,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,Life Sciences,587,Male,3,Healthcare Representative,3,Married,9824,3,No,12,3,12,1,0,0,0
42,No,Travel_Frequently,Research & Development,Other,591,Male,1,Laboratory Technician,3,Married,2093,4,No,17,3,8,2,2,2,0
22,Yes,Travel_Frequently,Research & Development,Technical Degree,593,Male,1,Laboratory Technician,3,Single,3894,5,No,16,3,4,2,2,1,2
48,No,Travel_Rarely,Sales,Marketing,595,Female,2,Sales Executive,4,Married,4051,2,No,14,3,14,9,7,6,7
41,No,Non-Travel,Sales,Life Sciences,599,Male,2,Sales Executive,4,Single,6230,7,No,14,3,16,14,3,1,10
39,No,Travel_Frequently,Research & Development,Life Sciences,602,Female,1,Laboratory Technician,3,Married,3755,1,No,11,3,8,8,3,0,7
31,No,Travel_Rarely,Sales,Life Sciences,604,Male,2,Sales Executive,4,Single,6582,4,Yes,13,3,10,6,5,0,5
45,No,Travel_Rarely,Sales,Other,606,Male,2,Sales Executive,2,Married,4805,0,No,19,3,9,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,Life Sciences,608,Female,1,Human Resources,3,Divorced,2741,0,Yes,11,3,8,7,7,1,0
29,No,Travel_Rarely,Research & Development,Technical Degree,611,Male,2,Manufacturing Director,4,Divorced,4262,4,No,12,3,8,3,2,1,2
33,No,Travel_Rarely,Research & Development,Medical,612,Female,4,Research Director,3,Divorced,16184,4,No,19,3,10,6,1,0,5
18,Yes,Travel_Frequently,Sales,Marketing,614,Male,1,Sales Representative,2,Single,1878,1,Yes,14,3,0,0,0,0,0
40,No,Non-Travel,Sales,Other,615,Male,3,Sales Executive,1,Divorced,10932,3,No,15,3,20,1,0,0,1
41,No,Non-Travel,Research & Development,Other,616,Female,2,Healthcare Representative,3,Single,6811,2,Yes,17,3,10,8,7,0,7
26,No,Travel_Rarely,Sales,Medical,618,Male,2,Sales Executive,3,Divorced,4306,5,No,12,3,8,0,0,0,0
35,No,Travel_Rarely,Sales,Medical,620,Female,2,Sales Executive,3,Single,4859,1,No,16,3,5,5,4,0,3
34,No,Travel_Rarely,Sales,Life Sciences,621,Male,2,Sales Executive,4,Single,5337,1,No,12,3,10,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,Technical Degree,622,Male,1,Laboratory Technician,4,Single,2340,1,Yes,18,3,1,1,0,0,0
37,No,Travel_Rarely,Research & Development,Technical Degree,623,Female,3,Manufacturing Director,4,Single,7491,4,No,17,3,12,6,5,1,2
46,No,Travel_Frequently,Research & Development,Medical,624,Female,3,Healthcare Representative,3,Married,10527,5,No,11,3,28,2,2,1,2
37,No,Non-Travel,Sales,Medical,626,Male,3,Sales Executive,2,Divorced,8834,1,No,13,3,9,9,5,7,7
52,No,Travel_Rarely,Research & Development,Technical Degree,630,Male,2,Research Scientist,1,Divorced,5577,3,Yes,12,3,18,10,9,6,9
32,Yes,Non-Travel,Sales,Other,631,Male,2,Sales Executive,3,Married,4707,8,No,12,3,6,4,2,1,2
24,No,Travel_Frequently,Sales,Medical,632,Male,1,Sales Representative,4,Married,2400,0,No,13,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,Medical,634,Female,2,Healthcare Representative,3,Married,9824,3,No,19,3,18,1,0,0,0
37,No,Travel_Rarely,Research & Development,Life Sciences,635,Female,2,Manufacturing Director,2,Married,6447,6,No,12,3,8,6,5,4,3
24,No,Travel_Rarely,Research & Development,Medical,639,Male,1,Research Scientist,4,Married,2725,1,Yes,11,3,6,6,5,1,4
25,No,Travel_Rarely,Sales,Medical,645,Male,1,Sales Representative,3,Married,2096,1,No,11,3,7,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,Life Sciences,647,Female,1,Laboratory Technician,3,Married,2886,1,Yes,16,3,6,6,3,1,2
30,Yes,Travel_Frequently,Sales,Life Sciences,648,Male,1,Sales Representative,1,Married,2033,1,No,18,3,1,1,0,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,649,Male,1,Research Scientist,4,Married,3622,1,Yes,13,3,6,6,5,1,3
31,Yes,Travel_Rarely,Sales,Medical,650,Male,2,Sales Executive,1,Divorced,4233,2,No,17,3,9,3,1,1,2
35,No,Travel_Rarely,Research & Development,Other,652,Male,2,Laboratory Technician,4,Single,3681,4,No,14,3,9,3,2,0,2
27,No,Travel_Rarely,Research & Development,Medical,655,Female,1,Research Scientist,3,Divorced,2187,0,No,12,3,6,5,3,0,3
37,No,Travel_Rarely,Sales,Marketing,656,Male,2,Sales Executive,3,Married,9602,4,Yes,11,3,17,3,0,1,0
20,No,Travel_Rarely,Research & Development,Life Sciences,657,Female,1,Research Scientist,2,Single,2836,1,No,13,3,1,1,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,659,Female,2,Healthcare Representative,4,Married,4089,1,No,13,3,10,10,2,2,2
38,No,Travel_Rarely,Research & Development,Life Sciences,662,Female,1,Research Scientist,1,Single,2619,3,No,17,3,8,0,0,0,0
43,No,Travel_Frequently,Research & Development,Medical,663,Male,2,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,10,8,7,4,7
48,No,Travel_Rarely,Research & Development,Life Sciences,664,Female,4,Manager,1,Married,15402,7,No,11,3,21,3,2,0,2
44,No,Travel_Rarely,Human Resources,Life Sciences,665,Female,2,Human Resources,3,Single,5985,4,No,11,3,10,2,2,0,2
34,No,Travel_Rarely,Sales,Technical Degree,666,Female,1,Sales Representative,3,Divorced,2579,1,Yes,18,3,8,8,2,0,6
27,Yes,Travel_Rarely,Sales,Marketing,667,Male,1,Sales Representative,1,Divorced,3041,0,No,11,3,5,4,3,0,2
21,No,Travel_Rarely,Sales,Technical Degree,669,Male,1,Sales Representative,3,Single,3447,1,No,11,3,3,3,2,1,2
33,No,Travel_Rarely,Sales,Marketing,677,Male,2,Sales Executive,3,Divorced,7104,0,No,12,3,6,5,0,1,2
32,No,Travel_Rarely,Research & Development,Life Sciences,679,Female,2,Research Scientist,4,Married,6322,1,Yes,12,3,6,6,4,0,5
45,Yes,Travel_Frequently,Sales,Life Sciences,684,Female,2,Sales Executive,1,Married,4286,2,No,14,3,5,1,1,0,0
26,No,Travel_Rarely,Research & Development,Life Sciences,686,Female,1,Laboratory Technician,4,Married,2659,1,Yes,13,3,3,3,2,0,2
37,No,Travel_Rarely,Research & Development,Other,689,Male,3,Manufacturing Director,3,Married,9434,1,No,15,3,10,10,7,7,8
29,No,Travel_Rarely,Sales,Medical,690,Female,2,Sales Executive,3,Married,5561,1,No,14,3,6,6,0,1,2
54,No,Travel_Rarely,Human Resources,Medical,698,Male,3,Human Resources,2,Married,10725,2,No,15,3,16,9,7,7,1
36,No,Travel_Rarely,Research & Development,Medical,699,Male,2,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,13,3,2,0,2
27,No,Travel_Rarely,Research & Development,Medical,700,Male,1,Research Scientist,4,Single,2045,0,No,13,3,5,4,2,1,1
20,Yes,Travel_Rarely,Research & Development,Medical,701,Male,1,Research Scientist,3,Single,1009,1,Yes,11,3,1,1,0,1,1
35,No,Non-Travel,Research & Development,Life Sciences,704,Male,1,Laboratory Technician,3,Married,1281,1,No,18,3,1,1,0,0,0
23,No,Travel_Rarely,Research & Development,Medical,705,Male,1,Research Scientist,1,Married,2819,2,No,16,3,5,3,2,0,2
29,No,Travel_Frequently,Research & Development,Life Sciences,710,Male,1,Research Scientist,4,Divorced,2720,1,No,18,3,10,10,7,2,8
48,No,Travel_Rarely,Sales,Marketing,712,Male,2,Sales Executive,2,Married,8120,3,No,12,3,12,2,2,2,2
37,No,Travel_Rarely,Research & Development,Life Sciences,715,Male,1,Research Scientist,4,Single,4680,3,No,17,3,4,1,0,0,0
34,No,Travel_Rarely,Research & Development,Medical,717,Female,3,Healthcare Representative,2,Single,8621,1,No,14,3,9,8,7,7,7
32,No,Travel_Rarely,Sales,Marketing,722,Male,2,Sales Executive,4,Single,5396,1,No,12,3,10,10,7,0,8
50,Yes,Travel_Frequently,Sales,Technical Degree,723,Male,2,Sales Executive,3,Married,6796,3,Yes,14,3,18,4,3,1,3
38,No,Travel_Rarely,Research & Development,Life Sciences,724,Female,2,Healthcare Representative,4,Single,7625,0,No,13,3,10,9,7,1,8
27,No,Travel_Rarely,Research & Development,Life Sciences,725,Female,3,Manufacturing Director,1,Married,7412,1,No,11,3,9,9,7,0,7
32,No,Travel_Rarely,Research & Development,Life Sciences,727,Female,3,Research Director,4,Single,11159,3,No,15,3,10,7,7,7,7
47,No,Travel_Rarely,Sales,Marketing,728,Male,2,Sales Executive,1,Single,4960,2,No,12,3,20,7,7,1,7
60,No,Travel_Rarely,Sales,Marketing,732,Male,2,Sales Executive,1,Single,5405,8,No,14,3,10,2,2,2,2
50,No,Travel_Rarely,Sales,Marketing,738,Male,1,Sales Representative,2,Married,3875,7,No,15,3,4,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,Life Sciences,741,Female,1,Research Scientist,2,Single,2216,7,Yes,13,3,10,7,7,3,7
38,No,Travel_Rarely,Research & Development,Life Sciences,743,Female,3,Manufacturing Director,3,Single,7861,4,Yes,14,3,10,1,0,0,0
44,No,Non-Travel,Research & Development,Medical,744,Male,1,Laboratory Technician,3,Single,3708,2,No,14,3,9,5,2,1,4
29,No,Travel_Rarely,Sales,Life Sciences,749,Male,1,Sales Representative,3,Single,2642,1,No,11,3,1,1,0,0,0
42,Yes,Travel_Frequently,Research & Development,Medical,752,Male,1,Research Scientist,3,Divorced,2759,6,Yes,12,3,7,2,2,2,2
43,No,Travel_Frequently,Sales,Life Sciences,754,Male,2,Sales Executive,4,Married,6804,3,No,18,3,7,2,2,2,2
34,No,Travel_Rarely,Research & Development,Medical,757,Female,2,Healthcare Representative,3,Single,6142,3,No,11,3,10,5,1,4,3
23,No,Travel_Rarely,Research & Development,Medical,758,Male,1,Laboratory Technician,1,Married,2500,1,No,14,3,5,4,3,0,2
27,No,Travel_Rarely,Research & Development,Medical,764,Female,2,Healthcare Representative,1,Single,6811,8,No,19,3,9,7,6,0,7
29,No,Travel_Rarely,Sales,Marketing,766,Male,1,Sales Representative,2,Divorced,2297,1,No,14,3,2,2,2,2,2
53,No,Travel_Rarely,Research & Development,Life Sciences,769,Male,2,Laboratory Technician,4,Single,2450,2,No,17,3,19,2,2,2,2
35,No,Non-Travel,Research & Development,Life Sciences,771,Female,2,Healthcare Representative,1,Divorced,5093,2,No,11,3,16,1,0,0,0
32,No,Travel_Frequently,Research & Development,Life Sciences,772,Male,2,Laboratory Technician,4,Married,5309,1,No,15,3,10,10,8,4,7
38,No,Travel_Rarely,Research & Development,Medical,773,Male,1,Research Scientist,3,Married,3057,6,Yes,13,3,6,1,0,0,1
34,No,Travel_Rarely,Research & Development,Life Sciences,775,Female,2,Manufacturing Director,1,Divorced,5121,3,No,14,3,7,0,0,0,0
33,Yes,Travel_Rarely,Research & Development,Other,780,Male,1,Research Scientist,4,Single,2686,1,Yes,13,3,10,10,9,7,8
45,No,Travel_Rarely,Sales,Technical Degree,783,Male,2,Sales Representative,3,Single,6632,0,No,13,3,9,8,7,3,1
23,No,Travel_Rarely,Research & Development,Medical,784,Male,1,Research Scientist,3,Single,3505,1,No,18,3,2,2,2,0,2
47,Yes,Travel_Frequently,Sales,Life Sciences,785,Female,2,Sales Executive,3,Single,6397,4,Yes,12,3,8,5,4,1,3
36,No,Non-Travel,Sales,Life Sciences,789,Male,3,Sales Executive,1,Single,7587,1,No,15,3,10,10,7,0,9
52,No,Non-Travel,Research & Development,Medical,791,Male,1,Research Scientist,4,Married,4258,0,No,18,3,5,4,3,1,2
26,No,Travel_Frequently,Research & Development,Life Sciences,792,Female,1,Laboratory Technician,4,Divorced,4364,3,No,14,3,5,2,2,2,0
29,No,Travel_Rarely,Research & Development,Medical,793,Female,2,Healthcare Representative,3,Married,4335,4,No,12,3,11,8,7,1,1
26,Yes,Travel_Rarely,Sales,Technical Degree,796,Male,2,Sales Executive,1,Single,5326,6,No,17,3,6,4,3,1,2
34,No,Travel_Rarely,Research & Development,Life Sciences,797,Female,1,Research Scientist,4,Single,3280,2,No,16,3,10,4,2,1,3
27,No,Travel_Frequently,Sales,Marketing,800,Male,2,Sales Executive,4,Married,4342,0,No,19,3,5,4,2,1,1
37,No,Travel_Rarely,Research & Development,Life Sciences,802,Female,1,Research Scientist,1,Divorced,2782,0,Yes,13,3,6,5,3,4,3
38,No,Travel_Frequently,Research & Development,Life Sciences,803,Female,2,Manufacturing Director,1,Single,5980,6,Yes,12,3,17,15,7,4,12
34,No,Travel_Rarely,Research & Development,Medical,804,Female,1,Research Scientist,1,Single,4381,1,No,11,3,6,6,5,1,3
35,No,Travel_Rarely,Sales,Life Sciences,805,Female,1,Sales Representative,4,Married,2572,1,No,16,3,3,3,2,0,2
34,No,Travel_Rarely,Sales,Life Sciences,808,Female,2,Sales Executive,1,Married,6500,5,No,17,3,6,3,2,1,2
24,No,Non-Travel,Research & Development,Life Sciences,812,Male,1,Laboratory Technician,2,Divorced,2694,1,No,11,3,1,1,0,0,0
29,Yes,Travel_Rarely,Research & Development,Life Sciences,816,Female,1,Laboratory Technician,1,Married,2319,1,Yes,11,3,1,1,0,0,0
33,No,Travel_Rarely,Research & Development,Medical,817,Male,3,Research Director,3,Married,11691,0,No,11,3,14,13,9,3,7
33,Yes,Travel_Rarely,Sales,Marketing,819,Female,2,Sales Executive,1,Single,5324,5,No,15,3,6,3,2,0,2
36,No,Travel_Rarely,Research & Development,Other,823,Female,2,Manufacturing Director,2,Married,5228,0,No,15,3,10,9,7,0,5
35,No,Travel_Rarely,Research & Development,Life Sciences,826,Female,1,Research Scientist,3,Single,2506,3,No,13,3,7,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,Medical,828,Male,1,Research Scientist,3,Single,4382,6,No,17,3,5,2,2,2,1
36,No,Travel_Rarely,Human Resources,Human Resources,829,Male,1,Human Resources,2,Married,2143,4,No,13,3,8,5,2,0,4
32,No,Travel_Rarely,Research & Development,Life Sciences,830,Female,2,Manufacturing Director,3,Married,6162,1,No,12,3,14,14,13,6,8
40,No,Travel_Frequently,Research & Development,Medical,832,Male,2,Laboratory Technician,3,Single,5094,6,No,14,3,10,1,0,0,0
45,No,Travel_Rarely,Research & Development,Life Sciences,834,Female,1,Research Scientist,3,Single,2274,1,No,14,3,1,1,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,836,Male,2,Manufacturing Director,2,Married,4434,1,No,13,3,10,9,8,7,8
38,No,Travel_Frequently,Research & Development,Life Sciences,837,Male,2,Healthcare Representative,1,Divorced,6288,2,No,15,3,13,4,3,1,2
34,No,Travel_Frequently,Research & Development,Life Sciences,838,Female,1,Research Scientist,4,Single,2553,1,No,16,3,6,5,2,1,3
49,Yes,Travel_Rarely,Sales,Marketing,840,Female,3,Sales Executive,4,Married,7654,1,No,18,3,9,9,8,7,7
55,Yes,Travel_Rarely,Sales,Medical,842,Male,2,Sales Executive,4,Single,5160,4,No,16,3,12,9,7,7,3
27,No,Travel_Rarely,Research & Development,Technical Degree,844,Male,3,Research Director,4,Divorced,12808,1,Yes,16,3,9,9,8,0,8
34,No,Travel_Rarely,Human Resources,Human Resources,847,Male,1,Human Resources,4,Married,3737,0,No,19,3,4,3,2,0,2
26,Yes,Travel_Frequently,Research & Development,Medical,848,Female,1,Research Scientist,3,Married,2366,1,Yes,14,3,8,8,7,1,7
27,No,Non-Travel,Research & Development,Medical,850,Male,1,Research Scientist,4,Married,1706,1,No,11,3,0,0,0,0,0
25,No,Travel_Rarely,Research & Development,Medical,854,Male,1,Research Scientist,1,Single,3424,7,No,13,3,6,4,3,0,1
35,No,Travel_Rarely,Research & Development,Medical,856,Female,1,Research Scientist,1,Single,2559,1,No,11,3,6,6,5,1,1
36,No,Travel_Rarely,Sales,Life Sciences,857,Male,2,Sales Executive,4,Married,6201,1,Yes,14,3,18,18,14,4,11
32,No,Travel_Rarely,Sales,Life Sciences,859,Male,2,Sales Executive,4,Divorced,4403,2,No,11,3,8,5,2,0,3
45,No,Travel_Rarely,Sales,Marketing,864,Male,3,Sales Executive,1,Divorced,10761,4,Yes,12,3,18,5,4,0,2
32,No,Travel_Rarely,Research & Development,Medical,865,Female,2,Research Scientist,3,Married,5175,5,No,12,3,9,5,3,1,3
37,No,Travel_Rarely,Sales,Marketing,868,Male,2,Sales Executive,3,Divorced,6334,4,No,19,3,9,1,0,0,0
28,No,Travel_Rarely,Human Resources,Medical,869,Male,1,Human Resources,4,Divorced,4936,1,No,13,3,6,5,1,0,4
42,No,Travel_Frequently,Research & Development,Medical,875,Male,1,Research Scientist,4,Single,2515,5,Yes,14,3,8,2,1,2,2
25,No,Travel_Rarely,Sales,Other,879,Male,2,Sales Executive,1,Married,4194,1,Yes,18,3,5,5,3,0,3
35,Yes,Travel_Frequently,Research & Development,Life Sciences,881,Female,1,Research Scientist,2,Divorced,2022,1,Yes,19,3,10,10,2,7,8
32,No,Non-Travel,Research & Development,Life Sciences,882,Male,1,Laboratory Technician,4,Divorced,2314,0,No,12,3,4,3,0,0,2
